image_id,image_path,instance_type,score,iou,x1,y1,x2,y2,area,area_ratio,size_cat,near_border,elongated
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.8906363248825073,,308.9703063964844,164.88375854492188,644.0830688476562,447.6178283691406,94747.79517785646,0.043563005838202294,medium,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.8445075154304504,,731.3665771484375,89.58341217041016,1065.396484375,364.08056640625,91690.258963353,0.0421572162078167,medium,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.36456605792045593,,226.9090576171875,60.362972259521484,816.7584228515625,555.3699951171875,291979.57821915206,0.13424595312978263,large,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.33421286940574646,,419.901611328125,202.98770141601562,586.34521484375,427.2563171386719,37328.07655633986,0.017162649683828603,medium,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.328652948141098,,582.0746459960938,0.0,1174.453125,464.72174072265625,275291.1579293348,0.12657297510268456,large,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.2914355397224426,,814.3248901367188,149.5260467529297,980.0564575195312,373.1272888183594,37057.78431624733,0.017038375104023673,medium,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.21035301685333252,,365.5908203125,254.80471801757812,533.3048095703125,470.0772705078125,36104.218555849046,0.016599946001696144,medium,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.20685651898384094,,345.17919921875,0.0,973.8289794921875,463.18804931640625,291183.0654280409,0.13387973361718877,large,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.20435982942581177,,861.69287109375,100.00977325439453,1032.8231201171875,324.9820556640625,38499.56271213759,0.017701273914066278,medium,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.15384569764137268,,766.406494140625,108.95479583740234,934.3004760742188,329.2830810546875,36991.793137730565,0.017008033774290363,medium,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.15241152048110962,,366.6096496582031,161.3631134033203,537.912841796875,376.4897766113281,36851.884121672716,0.016943706606867583,medium,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.1510406881570816,,761.806640625,62.616241455078125,1014.8448486328125,274.5656433105469,53631.29683383554,0.02465852099985082,medium,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.1450411081314087,,454.5421142578125,244.71311950683594,628.0470581054688,464.7859802246094,38183.729341230355,0.017556060498230015,medium,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.12036670744419098,,597.1069946289062,48.61613464355469,964.1971435546875,395.7591857910156,127432.79434427153,0.05859086803631861,large,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.11399898678064346,,282.5359802246094,98.3041000366211,528.5125732421875,398.9418640136719,73949.85291549773,0.034000557672553854,medium,False,False
1,./corrupted_test_sets/test_rotation_medium/page_0026.jpeg,FP,0.11334607750177383,,848.7865600585938,194.97738647460938,1023.3076171875,410.3285217285156,37583.30777842179,0.01727999953030023,medium,False,False
